record_id,season_end_year,player,squad,comp,primary_position,age,min_playing,position_group,kmeans_cluster,gmm_cluster,hdbscan_cluster,hierarchical_cluster,dbscan_cluster,ensemble_cluster,kmeans_role,gmm_role,hdbscan_role
0,2018,Martin Agirregabiria,Alavés,La Liga,DF,21.0,1828.0,DEF,1,1,7,0,-1,1,Balanced Defender,Balanced Defender,Crossing Fullback/Progressive Fullback
1,2018,Alexis,Alavés,La Liga,DF,31.0,2184.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
2,2018,Burgui,Alavés,La Liga,MF,23.0,1034.0,MID,0,1,1,2,-1,0,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
3,2018,Rubén Duarte,Alavés,La Liga,DF,21.0,2138.0,DEF,0,1,6,1,-1,1,Crossing Fullback,Balanced Defender,Crossing Fullback/Pressing
4,2018,Rodrigo Ely,Alavés,La Liga,DF,23.0,2691.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
5,2018,Manu García,Alavés,La Liga,MF,31.0,2439.0,MID,1,2,1,0,-1,0,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
6,2018,Ibai Gómez,Alavés,La Liga,MF,27.0,2319.0,MID,2,0,0,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Crossing
7,2018,John Guidetti,Alavés,La Liga,FW,25.0,1222.0,FWD,1,1,-1,1,-1,1,Balanced Forward,Balanced Forward,Unassigned/Noise
8,2018,Munir El Haddadi,Alavés,La Liga,FW,21.0,2444.0,FWD,0,0,-1,0,-1,0,Crossing Winger,Crossing Winger,Unassigned/Noise
9,2018,Víctor Laguardia,Alavés,La Liga,DF,27.0,1530.0,DEF,1,1,0,0,-1,1,Balanced Defender,Balanced Defender,Defensive Defender
10,2018,Guillermo Maripán,Alavés,La Liga,DF,23.0,1528.0,DEF,1,1,0,0,-1,1,Balanced Defender,Balanced Defender,Defensive Defender
11,2018,Álvaro Medrán,Alavés,La Liga,MF,23.0,947.0,MID,0,1,1,2,-1,0,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
12,2018,Fernando Pacheco,Alavés,La Liga,GK,25.0,3358.0,GK,0,2,0,1,-1,0,Shot-Stopper/Pressing,Shot-Stopper/Pressing,Shot-Stopper
13,2018,Alfonso Pedraza,Alavés,La Liga,MF,21.0,2440.0,MID,2,1,1,1,-1,1,Crossing/Playmaker,Balanced Midfielder,Balanced Midfielder
14,2018,Tomás Pina Isla,Alavés,La Liga,MF,29.0,2387.0,MID,1,1,1,0,-1,1,Defensive/Pressing Midfielder,Balanced Midfielder,Balanced Midfielder
15,2018,Rubén Sobrino,Alavés,La Liga,FW,25.0,1466.0,FWD,1,1,-1,1,-1,1,Balanced Forward,Balanced Forward,Unassigned/Noise
16,2018,Daniel Torres,Alavés,La Liga,MF,27.0,1217.0,MID,0,1,1,2,-1,0,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
17,2018,Wakaso,Alavés,La Liga,MF,27.0,1098.0,MID,0,0,1,2,-1,0,Balanced Midfielder,Crossing/Attacking Midfielder,Balanced Midfielder
18,2018,Khaled Adénon,Amiens,Ligue 1,DF,32.0,2921.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
19,2018,Danilo Avelar,Amiens,Ligue 1,DF,28.0,1727.0,DEF,1,1,5,0,-1,1,Balanced Defender,Balanced Defender,Progressive Fullback/Clinical
20,2018,Issa Cissokho,Amiens,Ligue 1,DF,32.0,1630.0,DEF,1,1,1,0,-1,1,Balanced Defender,Balanced Defender,Balanced Defender
21,2018,Bakaye Dibassy,Amiens,Ligue 1,DF,27.0,2778.0,DEF,2,0,0,1,-1,0,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
22,2018,Serge Gakpé,Amiens,Ligue 1,FW,30.0,1825.0,FWD,1,1,-1,1,-1,1,Balanced Forward,Balanced Forward,Unassigned/Noise
23,2018,Prince-Désir Gouano,Amiens,Ligue 1,DF,23.0,2746.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
24,2018,Régis Gurtner,Amiens,Ligue 1,GK,30.0,3330.0,GK,2,1,1,2,-1,2,Balanced Goalkeeper,Sweeper Keeper/Clinical,Balanced Goalkeeper
25,2018,Oualid El Hajjam,Amiens,Ligue 1,DF,26.0,2198.0,DEF,2,0,6,0,-1,0,Defensive Defender/Pressing,Defensive Defender/Pressing,Crossing Fullback/Pressing
26,2018,Gaël Kakuta,Amiens,Ligue 1,MF,26.0,3083.0,MID,2,0,0,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Crossing
27,2018,Moussa Konaté,Amiens,Ligue 1,FW,24.0,2472.0,FWD,2,2,8,2,-1,2,Clinical Finisher,Clinical Finisher,Clinical Finisher/Defensive
28,2018,Harrison Manzala,Amiens,Ligue 1,FW,23.0,1867.0,FWD,1,1,-1,0,-1,1,Balanced Forward,Balanced Forward,Unassigned/Noise
29,2018,Stiven Mendoza,Amiens,Ligue 1,FW,25.0,1032.0,FWD,1,1,3,1,-1,1,Balanced Forward,Balanced Forward,Crossing Winger
30,2018,Thomas Monconduit,Amiens,Ligue 1,MF,26.0,2948.0,MID,1,2,1,0,-1,0,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
31,2018,Bongani Zungu,Amiens,Ligue 1,MF,24.0,2084.0,MID,1,1,1,2,-1,1,Defensive/Pressing Midfielder,Balanced Midfielder,Balanced Midfielder
32,2018,Yoann Andreu,Angers,Ligue 1,DF,28.0,2070.0,DEF,1,1,5,0,-1,1,Balanced Defender,Balanced Defender,Progressive Fullback/Clinical
33,2018,Abdoulaye Bamba,Angers,Ligue 1,DF,27.0,1533.0,DEF,1,1,7,0,-1,1,Balanced Defender,Balanced Defender,Crossing Fullback/Progressive Fullback
34,2018,Ludovic Butelle,Angers,Ligue 1,GK,34.0,1652.0,GK,0,2,0,1,-1,0,Shot-Stopper/Pressing,Shot-Stopper/Pressing,Shot-Stopper
35,2018,Pierrick Capelle,Angers,Ligue 1,MF,30.0,1884.0,MID,1,1,1,1,-1,1,Defensive/Pressing Midfielder,Balanced Midfielder,Balanced Midfielder
36,2018,Enzo Crivelli,Angers,Ligue 1,FW,22.0,1022.0,FWD,1,1,7,1,-1,1,Balanced Forward,Balanced Forward,Balanced Forward
37,2018,Angelo Fulgini,Angers,Ligue 1,MF,20.0,1529.0,MID,2,1,1,2,-1,2,Crossing/Playmaker,Balanced Midfielder,Balanced Midfielder
38,2018,Alexandre Letellier,Angers,Ligue 1,GK,26.0,1170.0,GK,0,2,0,1,-1,0,Shot-Stopper/Pressing,Shot-Stopper/Pressing,Shot-Stopper
39,2018,Vincent Manceau,Angers,Ligue 1,DF,28.0,2970.0,DEF,0,0,-1,1,-1,0,Crossing Fullback,Defensive Defender/Pressing,Unassigned/Noise
40,2018,Thomas Mangani,Angers,Ligue 1,MF,30.0,3025.0,MID,1,2,1,0,-1,0,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
41,2018,Prince Oniangué,Angers,Ligue 1,MF,28.0,1056.0,MID,0,1,1,2,-1,0,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
42,2018,Mateo Pavlović,Angers,Ligue 1,DF,27.0,1966.0,DEF,2,0,0,0,-1,0,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
43,2018,Baptiste Santamaria,Angers,Ligue 1,MF,22.0,2591.0,MID,1,2,1,0,-1,0,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
44,2018,Flavien Tait,Angers,Ligue 1,MF,24.0,2235.0,MID,2,0,0,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Crossing
45,2018,Romain Thomas,Angers,Ligue 1,DF,29.0,2470.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
46,2018,Karl Toko Ekambi,Angers,Ligue 1,FW,24.0,3040.0,FWD,2,0,4,2,-1,2,Clinical Finisher,Crossing Winger,Dribbling Winger/False Nine
47,2018,Ismaël Traoré,Angers,Ligue 1,DF,30.0,2855.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
48,2018,Pierre-Emerick Aubameyang,Arsenal,Premier League,FW,28.0,1057.0,FWD,2,2,7,1,-1,2,Clinical Finisher,Clinical Finisher,Balanced Forward
49,2018,Héctor Bellerín,Arsenal,Premier League,DF,22.0,3051.0,DEF,0,2,4,1,-1,0,Crossing Fullback,Crossing Fullback,Progressive Fullback/Ball-Playing Defender
50,2018,Petr Čech,Arsenal,Premier League,GK,35.0,3039.0,GK,2,0,1,2,-1,2,Balanced Goalkeeper,Balanced Goalkeeper,Balanced Goalkeeper
51,2018,Alex Iwobi,Arsenal,Premier League,MF,21.0,1830.0,MID,2,1,1,1,-1,1,Crossing/Playmaker,Balanced Midfielder,Balanced Midfielder
52,2018,Sead Kolašinac,Arsenal,Premier League,DF,24.0,2147.0,DEF,0,1,-1,1,-1,1,Crossing Fullback,Balanced Defender,Unassigned/Noise
53,2018,Laurent Koscielny,Arsenal,Premier League,DF,31.0,2225.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
54,2018,Alexandre Lacazette,Arsenal,Premier League,FW,26.0,2202.0,FWD,2,2,4,2,-1,2,Clinical Finisher,Clinical Finisher,Dribbling Winger/False Nine
55,2018,Ainsley Maitland-Niles,Arsenal,Premier League,DF,19.0,914.0,DEF,1,1,1,0,-1,1,Balanced Defender,Balanced Defender,Balanced Defender
56,2018,Nacho Monreal,Arsenal,Premier League,DF,31.0,2243.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
57,2018,Shkodran Mustafi,Arsenal,Premier League,DF,25.0,2273.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
58,2018,Mesut Özil,Arsenal,Premier League,MF,28.0,2163.0,MID,2,0,0,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Crossing
59,2018,Aaron Ramsey,Arsenal,Premier League,MF,26.0,1846.0,MID,2,1,1,1,-1,1,Crossing/Playmaker,Balanced Midfielder,Balanced Midfielder
60,2018,Alexis Sánchez,Arsenal,Premier League,MF,28.0,1503.0,MID,2,1,0,1,-1,1,Crossing/Playmaker,Balanced Midfielder,Crossing
61,2018,Danny Welbeck,Arsenal,Premier League,FW,26.0,1194.0,FWD,1,1,7,1,-1,1,Balanced Forward,Balanced Forward,Balanced Forward
62,2018,Jack Wilshere,Arsenal,Premier League,MF,25.0,1193.0,MID,0,1,1,2,-1,0,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
63,2018,Granit Xhaka,Arsenal,Premier League,MF,24.0,3260.0,MID,1,2,1,0,-1,0,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
64,2018,Etrit Berisha,Atalanta,Serie A,GK,28.0,2790.0,GK,2,0,1,2,-1,2,Balanced Goalkeeper,Balanced Goalkeeper,Balanced Goalkeeper
65,2018,Mattia Caldara,Atalanta,Serie A,DF,23.0,2160.0,DEF,2,2,0,2,-1,2,Defensive Defender/Pressing,Crossing Fullback,Defensive Defender
66,2018,Timothy Castagne,Atalanta,Serie A,DF,21.0,1500.0,DEF,1,1,-1,0,-1,1,Balanced Defender,Balanced Defender,Unassigned/Noise
67,2018,Andreas Cornelius,Atalanta,Serie A,FW,24.0,934.0,FWD,1,1,7,1,-1,1,Balanced Forward,Balanced Forward,Balanced Forward
68,2018,Bryan Cristante,Atalanta,Serie A,MF,22.0,2824.0,MID,2,2,1,1,-1,2,Crossing/Playmaker,Pressing Midfielder/Defensive,Balanced Midfielder
69,2018,Remo Freuler,Atalanta,Serie A,MF,25.0,3006.0,MID,1,2,1,1,-1,1,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
70,2018,Papu Gómez,Atalanta,Serie A,MF,29.0,2750.0,MID,2,0,0,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Crossing
71,2018,Robin Gosens,Atalanta,Serie A,DF,23.0,1451.0,DEF,0,2,5,0,-1,0,Crossing Fullback,Crossing Fullback,Progressive Fullback/Clinical
72,2018,Hans Hateboer,Atalanta,Serie A,DF,23.0,2398.0,DEF,0,0,6,0,-1,0,Crossing Fullback,Defensive Defender/Pressing,Crossing Fullback/Pressing
73,2018,Josip Iličić,Atalanta,Serie A,MF,29.0,2002.0,MID,2,0,0,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Crossing
74,2018,José Luis Palomino,Atalanta,Serie A,DF,27.0,1979.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
75,2018,Andrea Masiello,Atalanta,Serie A,DF,31.0,2707.0,DEF,2,1,0,2,-1,2,Defensive Defender/Pressing,Balanced Defender,Defensive Defender
76,2018,Andrea Petagna,Atalanta,Serie A,FW,22.0,1618.0,FWD,1,1,-1,1,-1,1,Balanced Forward,Balanced Forward,Unassigned/Noise
77,2018,Marten de Roon,Atalanta,Serie A,MF,26.0,2571.0,MID,1,2,1,0,-1,0,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
78,2018,Leonardo Spinazzola,Atalanta,Serie A,DF,24.0,1503.0,DEF,1,1,7,0,-1,1,Balanced Defender,Balanced Defender,Crossing Fullback/Progressive Fullback
79,2018,Rafael Tolói,Atalanta,Serie A,DF,26.0,2445.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
80,2018,Aritz Aduriz,Athletic Club,La Liga,FW,36.0,2152.0,FWD,2,2,-1,1,-1,2,Clinical Finisher,Clinical Finisher,Unassigned/Noise
81,2018,Kepa Arrizabalaga,Athletic Club,La Liga,GK,22.0,2700.0,GK,2,0,1,2,-1,2,Balanced Goalkeeper,Balanced Goalkeeper,Balanced Goalkeeper
82,2018,Mikel Balenziaga,Athletic Club,La Liga,DF,29.0,1549.0,DEF,1,1,1,0,-1,1,Balanced Defender,Balanced Defender,Balanced Defender
83,2018,Iñigo Córdoba,Athletic Club,La Liga,FW,20.0,1459.0,FWD,1,1,5,0,-1,1,Balanced Forward,Balanced Forward,Pressing Forward/Defensive
84,2018,Beñat Etxebarria,Athletic Club,La Liga,MF,30.0,1120.0,MID,0,1,1,2,-1,0,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
85,2018,Raúl García,Athletic Club,La Liga,MF,31.0,2627.0,MID,2,0,1,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Balanced Midfielder
86,2018,Ander Iturraspe,Athletic Club,La Liga,MF,28.0,1904.0,MID,1,1,1,0,-1,1,Defensive/Pressing Midfielder,Balanced Midfielder,Balanced Midfielder
87,2018,Aymeric Laporte,Athletic Club,La Liga,DF,23.0,1710.0,DEF,1,0,0,2,-1,0,Balanced Defender,Defensive Defender/Pressing,Defensive Defender
88,2018,Iñigo Lekue,Athletic Club,La Liga,DF,24.0,2111.0,DEF,0,0,6,0,-1,0,Crossing Fullback,Defensive Defender/Pressing,Crossing Fullback/Pressing
89,2018,Óscar de Marcos,Athletic Club,La Liga,DF,28.0,1658.0,DEF,0,1,5,0,-1,0,Crossing Fullback,Balanced Defender,Progressive Fullback/Clinical
90,2018,Iñigo Martínez,Athletic Club,La Liga,DF,26.0,1440.0,DEF,1,0,0,2,-1,0,Balanced Defender,Defensive Defender/Pressing,Defensive Defender
91,2018,Unai Núñez,Athletic Club,La Liga,DF,20.0,2941.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
92,2018,Mikel Rico,Athletic Club,La Liga,MF,32.0,1171.0,MID,0,1,1,2,-1,0,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
93,2018,Enric Saborit,Athletic Club,La Liga,DF,25.0,1428.0,DEF,1,1,7,0,-1,1,Balanced Defender,Balanced Defender,Crossing Fullback/Progressive Fullback
94,2018,Mikel San José,Athletic Club,La Liga,MF,28.0,2155.0,MID,1,1,1,0,-1,1,Defensive/Pressing Midfielder,Balanced Midfielder,Balanced Midfielder
95,2018,Markel Susaeta,Athletic Club,La Liga,FW,29.0,2264.0,FWD,0,0,1,0,-1,0,Crossing Winger,Crossing Winger,Crossing Winger
96,2018,Iñaki Williams,Athletic Club,La Liga,FW,23.0,2851.0,FWD,0,2,-1,2,-1,2,Crossing Winger,Clinical Finisher,Unassigned/Noise
97,2018,Yannick Carrasco,Atlético Madrid,La Liga,MF,23.0,901.0,MID,0,1,1,1,-1,1,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
98,2018,Ángel Correa,Atlético Madrid,La Liga,MF,22.0,2253.0,MID,2,0,1,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Balanced Midfielder
99,2018,Diego Costa,Atlético Madrid,La Liga,FW,28.0,1041.0,FWD,1,1,7,1,-1,1,Balanced Forward,Balanced Forward,Balanced Forward
100,2018,Gabi,Atlético Madrid,La Liga,MF,34.0,2349.0,MID,1,2,1,0,-1,0,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
101,2018,Kévin Gameiro,Atlético Madrid,La Liga,FW,30.0,1125.0,FWD,1,1,7,1,-1,1,Balanced Forward,Balanced Forward,Balanced Forward
102,2018,Diego Godín,Atlético Madrid,La Liga,DF,31.0,2554.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
103,2018,Antoine Griezmann,Atlético Madrid,La Liga,FW,26.0,2519.0,FWD,0,0,-1,0,-1,0,Crossing Winger,Crossing Winger,Unassigned/Noise
104,2018,Lucas Hernández,Atlético Madrid,La Liga,DF,21.0,2116.0,DEF,2,2,6,1,-1,2,Defensive Defender/Pressing,Crossing Fullback,Crossing Fullback/Pressing
105,2018,Juanfran,Atlético Madrid,La Liga,DF,32.0,1307.0,DEF,1,1,1,0,-1,1,Balanced Defender,Balanced Defender,Balanced Defender
106,2018,Koke,Atlético Madrid,La Liga,MF,25.0,2756.0,MID,2,2,1,0,-1,2,Crossing/Playmaker,Pressing Midfielder/Defensive,Balanced Midfielder
107,2018,Filipe Luís,Atlético Madrid,La Liga,DF,31.0,1659.0,DEF,0,1,5,0,-1,0,Crossing Fullback,Balanced Defender,Progressive Fullback/Clinical
108,2018,José María Giménez,Atlético Madrid,La Liga,DF,22.0,1690.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
109,2018,Saúl Ñíguez,Atlético Madrid,La Liga,MF,22.0,3155.0,MID,1,2,1,0,-1,0,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
110,2018,Jan Oblak,Atlético Madrid,La Liga,GK,24.0,3330.0,GK,0,2,0,1,-1,0,Shot-Stopper/Pressing,Shot-Stopper/Pressing,Shot-Stopper
111,2018,Thomas Partey,Atlético Madrid,La Liga,MF,24.0,2377.0,MID,1,1,1,0,-1,1,Defensive/Pressing Midfielder,Balanced Midfielder,Balanced Midfielder
112,2018,Stefan Savić,Atlético Madrid,La Liga,DF,26.0,2299.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
113,2018,Fernando Torres,Atlético Madrid,La Liga,FW,33.0,982.0,FWD,1,1,-1,1,-1,1,Balanced Forward,Balanced Forward,Unassigned/Noise
114,2018,Šime Vrsaljko,Atlético Madrid,La Liga,DF,25.0,1696.0,DEF,0,1,1,0,-1,0,Crossing Fullback,Balanced Defender,Balanced Defender
115,2018,Daniel Baier,Augsburg,Bundesliga,MF,33.0,2538.0,MID,1,2,1,0,-1,0,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
116,2018,Caiuby,Augsburg,Bundesliga,FW,29.0,2855.0,FWD,0,1,0,0,-1,0,Crossing Winger,Balanced Forward,Pressing Forward/Defensive
117,2018,Kevin Danso,Augsburg,Bundesliga,DF,18.0,1105.0,DEF,1,1,0,0,-1,1,Balanced Defender,Balanced Defender,Defensive Defender
118,2018,Alfreð Finnbogason,Augsburg,Bundesliga,FW,28.0,1814.0,FWD,2,2,-1,2,-1,2,Clinical Finisher,Clinical Finisher,Unassigned/Noise
119,2018,Jeffrey Gouweleeuw,Augsburg,Bundesliga,DF,26.0,2385.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
120,2018,Michael Gregoritsch,Augsburg,Bundesliga,MF,23.0,2527.0,MID,2,0,1,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Balanced Midfielder
121,2018,Marcel Heller,Augsburg,Bundesliga,FW,31.0,1299.0,FWD,1,1,-1,1,-1,1,Balanced Forward,Balanced Forward,Unassigned/Noise
122,2018,Martin Hinteregger,Augsburg,Bundesliga,DF,24.0,2655.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
123,2018,Marwin Hitz,Augsburg,Bundesliga,GK,29.0,2880.0,GK,2,1,1,2,-1,2,Balanced Goalkeeper,Sweeper Keeper/Clinical,Balanced Goalkeeper
124,2018,Koo Ja-cheol,Augsburg,Bundesliga,MF,28.0,2046.0,MID,1,1,1,0,-1,1,Defensive/Pressing Midfielder,Balanced Midfielder,Balanced Midfielder
125,2018,Rani Khedira,Augsburg,Bundesliga,MF,23.0,2275.0,MID,1,1,1,0,-1,1,Defensive/Pressing Midfielder,Balanced Midfielder,Balanced Midfielder
126,2018,Philipp Max,Augsburg,Bundesliga,DF,23.0,2959.0,DEF,0,2,2,1,-1,0,Crossing Fullback,Crossing Fullback,Crossing Fullback
127,2018,Daniel Opare,Augsburg,Bundesliga,DF,26.0,1417.0,DEF,1,1,7,0,-1,1,Balanced Defender,Balanced Defender,Crossing Fullback/Progressive Fullback
128,2018,Jonathan Schmid,Augsburg,Bundesliga,DF,27.0,1473.0,DEF,1,2,2,0,-1,0,Balanced Defender,Crossing Fullback,Crossing Fullback
129,2018,Jordi Alba,Barcelona,La Liga,DF,28.0,2744.0,DEF,0,2,4,1,-1,0,Crossing Fullback,Crossing Fullback,Progressive Fullback/Ball-Playing Defender
130,2018,Sergio Busquets,Barcelona,La Liga,MF,29.0,2593.0,MID,1,2,1,0,-1,0,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
131,2018,Philippe Coutinho,Barcelona,La Liga,MF,25.0,1296.0,MID,2,0,1,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Balanced Midfielder
132,2018,Ousmane Dembélé,Barcelona,La Liga,FW,20.0,925.0,FWD,1,1,3,0,-1,1,Balanced Forward,Balanced Forward,Crossing Winger
133,2018,Andrés Iniesta,Barcelona,La Liga,MF,33.0,1824.0,MID,0,1,1,1,-1,1,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
134,2018,Lionel Messi,Barcelona,La Liga,FW,30.0,3000.0,FWD,0,0,1,0,-1,0,Crossing Winger,Crossing Winger,Crossing Winger
135,2018,Paulinho,Barcelona,La Liga,MF,29.0,1945.0,MID,2,0,1,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Balanced Midfielder
136,2018,Gerard Piqué,Barcelona,La Liga,DF,30.0,2632.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
137,2018,Ivan Rakitić,Barcelona,La Liga,MF,29.0,2835.0,MID,1,2,1,1,-1,1,Defensive/Pressing Midfielder,Pressing Midfielder/Defensive,Balanced Midfielder
138,2018,Sergi Roberto,Barcelona,La Liga,DF,25.0,2225.0,DEF,0,1,6,1,-1,1,Crossing Fullback,Balanced Defender,Crossing Fullback/Pressing
139,2018,Nélson Semedo,Barcelona,La Liga,DF,23.0,1493.0,DEF,1,1,7,0,-1,1,Balanced Defender,Balanced Defender,Crossing Fullback/Progressive Fullback
140,2018,Luis Suárez,Barcelona,La Liga,FW,30.0,2899.0,FWD,2,0,4,2,-1,2,Clinical Finisher,Crossing Winger,Dribbling Winger/False Nine
141,2018,Marc-André ter Stegen,Barcelona,La Liga,GK,25.0,3330.0,GK,2,0,1,2,-1,2,Balanced Goalkeeper,Balanced Goalkeeper,Balanced Goalkeeper
142,2018,Samuel Umtiti,Barcelona,La Liga,DF,23.0,2189.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
143,2018,Thomas Vermaelen,Barcelona,La Liga,DF,31.0,1018.0,DEF,1,1,0,0,-1,1,Balanced Defender,Balanced Defender,Defensive Defender
144,2018,David Alaba,Bayern Munich,Bundesliga,DF,25.0,1551.0,DEF,0,1,2,0,-1,0,Crossing Fullback,Balanced Defender,Crossing Fullback
145,2018,Thiago Alcántara,Bayern Munich,Bundesliga,MF,26.0,1247.0,MID,0,1,1,2,-1,0,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
146,2018,Jérôme Boateng,Bayern Munich,Bundesliga,DF,28.0,1640.0,DEF,1,1,-1,2,-1,1,Balanced Defender,Balanced Defender,Unassigned/Noise
147,2018,Kingsley Coman,Bayern Munich,Bundesliga,FW,21.0,1153.0,FWD,1,1,5,0,-1,1,Balanced Forward,Balanced Forward,Pressing Forward/Defensive
148,2018,Mats Hummels,Bayern Munich,Bundesliga,DF,28.0,2213.0,DEF,2,0,0,2,-1,2,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
149,2018,Joshua Kimmich,Bayern Munich,Bundesliga,DF,22.0,2329.0,DEF,0,2,2,1,-1,0,Crossing Fullback,Crossing Fullback,Crossing Fullback
150,2018,Robert Lewandowski,Bayern Munich,Bundesliga,FW,28.0,2172.0,FWD,2,2,6,2,-1,2,Clinical Finisher,Clinical Finisher,Clinical Finisher
151,2018,Javi Martínez,Bayern Munich,Bundesliga,MF,28.0,1609.0,MID,0,1,1,2,-1,0,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
152,2018,Thomas Müller,Bayern Munich,Bundesliga,MF,27.0,2005.0,MID,2,0,0,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Crossing
153,2018,Rafinha,Bayern Munich,Bundesliga,DF,31.0,1851.0,DEF,0,1,-1,1,-1,1,Crossing Fullback,Balanced Defender,Unassigned/Noise
154,2018,Franck Ribéry,Bayern Munich,Bundesliga,FW,34.0,1203.0,FWD,0,1,5,0,-1,0,Crossing Winger,Balanced Forward,Pressing Forward/Defensive
155,2018,Arjen Robben,Bayern Munich,Bundesliga,FW,33.0,1507.0,FWD,0,1,1,0,-1,0,Crossing Winger,Balanced Forward,Crossing Winger
156,2018,James Rodríguez,Bayern Munich,Bundesliga,MF,26.0,1621.0,MID,2,0,0,1,-1,0,Crossing/Playmaker,Crossing/Attacking Midfielder,Crossing
157,2018,Sebastian Rudy,Bayern Munich,Bundesliga,MF,27.0,1515.0,MID,0,1,1,2,-1,0,Balanced Midfielder,Balanced Midfielder,Balanced Midfielder
158,2018,Niklas Süle,Bayern Munich,Bundesliga,DF,21.0,1926.0,DEF,2,0,0,0,-1,0,Defensive Defender/Pressing,Defensive Defender/Pressing,Defensive Defender
159,2018,Corentin Tolisso,Bayern Munich,Bundesliga,MF,22.0,1575.0,MID,2,1,1,1,-1,1,Crossing/Playmaker,Balanced Midfielder,Balanced Midfielder
